addr,x,y,null,null.1
60000098:,00221020,00169120,"."".",...
60000098:,0022101c,00169120,".."".",...
60000098:,0022101c,00169118,".."".....",
60000098:,0022101c,00169118,".."".....",
60000098:,00221018,00169118,".."".....",
60000098:,00221018,00169118,".."".....",
60000098:,00221018,00169114,".."".....",
60000098:,00221014,00169110,".."".....",
60000098:,0022100c,00169108,".."".....",
60000098:,00221004,00169104,".."".....",
60000098:,00221000,00169100,".."".....",
60000098:,00220ffc,001690f8,".."".....",
60000098:,00220ff8,001690f4,".."".....",
60000098:,00220ff4,001690ec,".."".....",
60000098:,00220ff0,001690e8,".."".....",
60000098:,00220fec,001690e0,".."".....",
60000098:,00220fe8,001690dc,".."".....",
60000098:,00220fe4,001690d8,".."".....",
60000098:,00220fe0,001690d0,".."".....",
60000098:,00220fdc,001690cc,".."".....",
60000098:,00220fd8,001690c4,".."".....",
60000098:,00220fd0,001690bc,".."".....",
60000098:,00220fc8,001690b8,".."".....",
60000098:,00220fbc,001690b8,".."".....",
60000098:,00220fb8,001690b0,".."".....",
60000098:,00220fb0,001690a8,".."".....",
60000098:,00220fa8,0016909c,".."".....",
60000098:,00220fa4,00169094,".."".....",
60000098:,00220fa0,0016908c,".."".....",
60000098:,00220f94,00169084,".."".....",
60000098:,00220f90,00169084,".."".....",
60000098:,00220f8c,00169084,".."".....",
60000098:,00220f88,00169084,".."".....",
60000098:,00220f84,00169080,".."".....",
60000098:,00220f84,00169080,".."".....",
60000098:,00220f84,0016907c,".."".|...",
60000098:,00220f80,00169078,".."".x...",
60000098:,00220f78,0016906c,"x."".l...",
60000098:,00220f74,00169068,"t."".h...",
60000098:,00220f74,0016905c,"t."".\...",
60000098:,00220f6c,00169054,"l."".T...",
60000098:,00220f64,0016904c,"d."".L...",
60000098:,00220f5c,0016904c,"\."".L...",
60000098:,00220f58,00169044,"X."".D...",
60000098:,00220f50,00169040,"P."".@...",
60000098:,00220f48,0016903c,"H."".<...",
60000098:,00220f40,00169038,"@."".8...",
60000098:,00220f40,00169038,"@."".8...",
60000098:,00220f3c,00169034,"<."".4...",
60000098:,00220f30,00169030,"0."".0...",
60000098:,00220f2c,0016902c,",."".,...",
60000098:,00220f24,00169020,"$."".",...
60000098:,00220f20,0016901c,"."".....",
60000098:,00220f18,00169018,".."".....",
60000098:,00220f10,00169010,".."".....",
60000098:,00220f08,0016900c,".."".....",
60000098:,00220f00,00169004,".."".....",
60000098:,00220ef8,00168ffc,".."".....",
60000098:,00220ef4,00168ff4,".."".....",
60000098:,00220ef4,00168ff0,".."".....",
60000098:,00220eec,00168fec,".."".....",
60000098:,00220eec,00168fec,".."".....",
60000098:,00220ee4,00168fe4,".."".....",
60000098:,00220ee4,00168fe4,".."".....",
60000098:,00220ee0,00168fdc,".."".....",
60000098:,00220edc,00168fd8,".."".....",
60000098:,00220edc,00168fd4,".."".....",
60000098:,00220edc,00168fd0,".."".....",
60000098:,00220ed8,00168fcc,".."".....",
60000098:,00220ed4,00168fc4,".."".....",
60000098:,00220ec8,00168fc4,".."".....",
60000098:,00220ec8,00168fbc,".."".....",
60000098:,00220ec0,00168fb8,".."".....",
60000098:,00220ebc,00168fb0,".."".....",
60000098:,00220eb4,00168fa8,".."".....",
60000098:,00220eac,00168fa0,".."".....",
60000098:,00220ea8,00168f9c,".."".....",
60000098:,00220ea0,00168f98,".."".....",
60000098:,00220e98,00168f94,".."".....",
60000098:,00220e90,00168f8c,".."".....",
60000098:,00220e8c,00168f84,".."".....",
60000098:,00220e84,00168f84,".."".....",
60000098:,00220e80,00168f80,".."".....",
60000098:,00220e7c,00168f7c,"|."".|...",
60000098:,00220e74,00168f78,"t."".x...",
60000098:,00220e6c,00168f70,"l."".p...",
60000098:,00220e68,00168f6c,"h."".l...",
60000098:,00220e60,00168f64,"`."".d...",
60000098:,00220e5c,00168f5c,"\."".\...",
60000098:,00220e58,00168f54,"X."".T...",
60000098:,00220e50,00168f50,"P."".P...",
60000098:,00220e4c,00168f4c,"L."".L...",
60000098:,00220e4c,00168f44,"L."".D...",
60000098:,00220e4c,00168f44,"L."".D...",
60000098:,00220e4c,00168f40,"L."".@...",
60000098:,00220e48,00168f3c,"H."".<...",
60000098:,00220e44,00168f38,"D."".8...",
60000098:,00220e40,00168f34,"@."".4...",
60000098:,00220e3c,00168f34,"<."".4...",
60000098:,00220e38,00168f2c,"8."".,...",
60000098:,00220e2c,00168f2c,",."".,...",
60000098:,00220e2c,00168f20,",."".",...
60000098:,00220e24,00168f1c,"$."".....",
60000098:,00220e20,00168f18,"."".....",
60000098:,00220e18,00168f14,".."".....",
60000098:,00220e10,00168f14,".."".....",
60000098:,00220e0c,00168f10,".."".....",
60000098:,00220e04,00168f04,".."".....",
