addr,x,y,null,null.1
60000098:,002221e4,0016a36c,".!"".l...",
60000098:,002221e0,0016a36c,".!"".l...",
60000098:,002221d8,0016a368,".!"".h...",
60000098:,002221d8,0016a364,".!"".d...",
60000098:,002221d0,0016a360,".!"".`...",
60000098:,002221cc,0016a35c,".!"".\...",
60000098:,002221c8,0016a358,".!"".X...",
60000098:,002221c4,0016a34c,".!"".L...",
60000098:,002221b8,0016a348,".!"".H...",
60000098:,002221b4,0016a340,".!"".@...",
60000098:,002221b0,0016a33c,".!"".<...",
60000098:,002221ac,0016a338,".!"".8...",
60000098:,002221a8,0016a330,".!"".0...",
60000098:,002221a0,0016a32c,".!"".,...",
60000098:,00222198,0016a328,".!"".(...",
60000098:,00222194,0016a324,".!"".$...",
60000098:,00222190,0016a320,".!"".",...
60000098:,0022218c,0016a318,".!"".....",
60000098:,00222188,0016a310,".!"".....",
60000098:,00222180,0016a308,".!"".....",
60000098:,0022217c,0016a300,"|!"".....",
60000098:,00222178,0016a2fc,"x!"".....",
60000098:,00222174,0016a2f8,"t!"".....",
60000098:,0022216c,0016a2f4,"l!"".....",
60000098:,00222168,0016a2f0,"h!"".....",
60000098:,00222168,0016a2f0,"h!"".....",
60000098:,00222160,0016a2e8,"`!"".....",
60000098:,00222158,0016a2dc,"X!"".....",
60000098:,00222154,0016a2dc,"T!"".....",
60000098:,00222150,0016a2dc,"P!"".....",
60000098:,00222150,0016a2d8,"P!"".....",
60000098:,0022214c,0016a2d8,"L!"".....",
60000098:,0022214c,0016a2d0,"L!"".....",
60000098:,0022214c,0016a2d0,"L!"".....",
60000098:,00222144,0016a2d0,"D!"".....",
60000098:,00222144,0016a2d0,"D!"".....",
60000098:,00222144,0016a2d0,"D!"".....",
60000098:,00222140,0016a2cc,"@!"".....",
60000098:,0022213c,0016a2c0,"<!"".....",
60000098:,00222138,0016a2b8,"8!"".....",
60000098:,00222130,0016a2b4,"0!"".....",
60000098:,00222128,0016a2ac,"(!"".....",
60000098:,00222124,0016a2a8,"$!"".....",
60000098:,0022211c,0016a2a4,".!"".....",
60000098:,00222118,0016a2a0,".!"".....",
60000098:,00222110,0016a2a0,".!"".....",
60000098:,00222108,0016a29c,".!"".....",
60000098:,00222104,0016a29c,".!"".....",
60000098:,00222100,0016a290,".!"".....",
60000098:,002220fc,0016a290,.,"""....."
60000098:,002220f4,0016a28c,.,"""....."
60000098:,002220f0,0016a284,.,"""....."
60000098:,002220f0,0016a27c,.,""".|..."
60000098:,002220ec,0016a270,.,""".p..."
60000098:,002220e0,0016a268,.,""".h..."
60000098:,002220d8,0016a260,.,""".`..."
60000098:,002220d4,0016a254,.,""".T..."
60000098:,002220cc,0016a248,.,""".H..."
60000098:,002220cc,0016a244,.,""".D..."
60000098:,002220c4,0016a240,.,""".@..."
60000098:,002220c4,0016a23c,.,""".<..."
60000098:,002220c0,0016a238,.,""".8..."
60000098:,002220bc,0016a238,.,""".8..."
60000098:,002220b8,0016a234,.,""".4..."
60000098:,002220b8,0016a230,.,""".0..."
60000098:,002220b4,0016a22c,.,""".,..."
60000098:,002220b4,0016a228,.,""".(..."
60000098:,002220a4,0016a21c,.,"""....."
60000098:,0022209c,0016a218,.,"""....."
60000098:,00222094,0016a214,.,"""....."
60000098:,00222090,0016a20c,.,"""....."
60000098:,0022208c,0016a208,.,"""....."
60000098:,00222084,0016a200,.,"""....."
60000098:,00222080,0016a1f8,.,"""....."
60000098:,00222078,0016a1f4,x,"""....."
60000098:,00222078,0016a1ec,x,"""....."
60000098:,0022206c,0016a1e4,l,"""....."
60000098:,00222068,0016a1dc,h,"""....."
60000098:,00222060,0016a1d8,`,"""....."
60000098:,00222060,0016a1d0,`,"""....."
60000098:,00222058,0016a1cc,X,"""....."
60000098:,00222054,0016a1c8,T,"""....."
60000098:,00222050,0016a1c4,P,"""....."
60000098:,0022204c,0016a1bc,L,"""....."
60000098:,0022204c,0016a1b4,L,"""....."
60000098:,00222048,0016a1b4,H,"""....."
60000098:,00222044,0016a1a8,D,"""....."
60000098:,00222038,0016a1a4,8,"""....."
60000098:,00222034,0016a1a0,4,"""....."
60000098:,00222034,0016a19c,4,"""....."
60000098:,00222030,0016a194,0,"""....."
60000098:,0022202c,0016a194,",","""....."
60000098:,0022202c,0016a190,",","""....."
60000098:,00222028,0016a18c,(,"""....."
60000098:,00222024,0016a18c,$,"""....."
60000098:,00222024,0016a188,$,"""....."
60000098:,0022201c,0016a184,.,"""....."
60000098:,00222018,0016a184,.,"""....."
60000098:,00222014,0016a17c,.,""".|..."
60000098:,00222010,0016a178,.,""".x..."
60000098:,0022200c,0016a174,.,""".t..."
60000098:,00222008,0016a170,.,""".p..."
60000098:,00222000,0016a168,.,""".h..."
60000098:,00221ffc,0016a160,".."".`...",
60000098:,00221ff4,0016a158,".."".X...",
60000098:,00221ff0,0016a154,".."".T...",
60000098:,00221fe8,0016a14c,".."".L...",
60000098:,00221fe4,0016a148,".."".H...",
60000098:,00221fdc,0016a144,".."".D...",
60000098:,00221fdc,0016a13c,".."".<...",
60000098:,00221fd4,0016a134,".."".4...",
60000098:,00221fd0,0016a12c,".."".,...",
60000098:,00221fc4,0016a120,".."".",...
60000098:,00221fc0,0016a118,".."".....",
60000098:,00221fb8,0016a114,".."".....",
60000098:,00221fb4,0016a110,".."".....",
60000098:,00221fac,0016a10c,".."".....",
60000098:,00221fa4,0016a104,".."".....",
60000098:,00221f9c,0016a100,".."".....",
60000098:,00221f94,0016a0f8,".."".....",
60000098:,00221f94,0016a0f4,".."".....",
60000098:,00221f90,0016a0f4,".."".....",
60000098:,00221f90,0016a0ec,".."".....",
60000098:,00221f90,0016a0e8,".."".....",
60000098:,00221f8c,0016a0e8,".."".....",
60000098:,00221f88,0016a0e4,".."".....",
60000098:,00221f88,0016a0e4,".."".....",
60000098:,00221f7c,0016a0dc,"|."".....",
60000098:,00221f70,0016a0d4,"p."".....",
60000098:,00221f6c,0016a0cc,"l."".....",
60000098:,00221f68,0016a0c8,"h."".....",
60000098:,00221f60,0016a0c0,"`."".....",
60000098:,00221f5c,0016a0b8,"\."".....",
60000098:,00221f54,0016a0b0,"T."".....",
60000098:,00221f4c,0016a0b0,"L."".....",
