addr,x,y,null,null.1
60000098:,002233ac,0016b5c0,".3"".....",
60000098:,002233b0,0016b5bc,".3"".....",
60000098:,002233a8,0016b5c0,".3"".....",
60000098:,002233a4,0016b5c0,".3"".....",
60000098:,002233a4,0016b5b8,".3"".....",
60000098:,002233a0,0016b5b4,".3"".....",
60000098:,0022339c,0016b5ac,".3"".....",
60000098:,00223394,0016b5a0,".3"".....",
60000098:,0022338c,0016b59c,".3"".....",
60000098:,0022338c,0016b590,".3"".....",
60000098:,0022338c,0016b588,".3"".....",
60000098:,00223380,0016b57c,".3"".|...",
60000098:,00223378,0016b570,"x3"".p...",
60000098:,00223374,0016b564,"t3"".d...",
60000098:,0022336c,0016b560,"l3"".`...",
60000098:,00223368,0016b554,"h3"".T...",
60000098:,0022335c,0016b550,"\3"".P...",
60000098:,00223358,0016b544,"X3"".D...",
60000098:,00223350,0016b540,"P3"".@...",
60000098:,00223350,0016b538,"P3"".8...",
60000098:,0022334c,0016b530,"L3"".0...",
60000098:,00223344,0016b52c,"D3"".,...",
60000098:,00223344,0016b524,"D3"".$...",
60000098:,0022333c,0016b524,"<3"".$...",
60000098:,00223338,0016b520,"83"".",...
60000098:,00223330,0016b518,"03"".....",
60000098:,0022332c,0016b514,",3"".....",
60000098:,00223328,0016b508,"(3"".....",
60000098:,00223328,0016b504,"(3"".....",
60000098:,00223324,0016b504,"$3"".....",
60000098:,00223320,0016b500,"3"".....",
60000098:,00223320,0016b500,"3"".....",
60000098:,0022331c,0016b4fc,".3"".....",
60000098:,00223314,0016b4fc,".3"".....",
60000098:,0022330c,0016b4f4,".3"".....",
60000098:,0022330c,0016b4f0,".3"".....",
60000098:,00223308,0016b4e8,".3"".....",
60000098:,00223300,0016b4e8,".3"".....",
60000098:,00223300,0016b4e0,".3"".....",
60000098:,002232f4,0016b4dc,".2"".....",
60000098:,002232f4,0016b4d4,".2"".....",
60000098:,002232e8,0016b4d0,".2"".....",
60000098:,002232e0,0016b4cc,".2"".....",
60000098:,002232dc,0016b4c0,".2"".....",
60000098:,002232d8,0016b4bc,".2"".....",
60000098:,002232d4,0016b4bc,".2"".....",
60000098:,002232d0,0016b4b4,".2"".....",
60000098:,002232cc,0016b4b0,".2"".....",
60000098:,002232c8,0016b4a8,".2"".....",
60000098:,002232c4,0016b4a0,".2"".....",
60000098:,002232bc,0016b498,".2"".....",
60000098:,002232b8,0016b490,".2"".....",
60000098:,002232b4,0016b490,".2"".....",
60000098:,002232b8,0016b484,".2"".....",
60000098:,002232b0,0016b484,".2"".....",
60000098:,002232b0,0016b480,".2"".....",
60000098:,002232ac,0016b474,".2"".t...",
60000098:,002232a8,0016b474,".2"".t...",
60000098:,002232a4,0016b46c,".2"".l...",
60000098:,00223298,0016b468,".2"".h...",
60000098:,00223298,0016b468,".2"".h...",
60000098:,0022328c,0016b45c,".2"".\...",
60000098:,0022328c,0016b45c,".2"".\...",
60000098:,00223284,0016b450,".2"".P...",
60000098:,00223284,0016b450,".2"".P...",
60000098:,00223280,0016b448,".2"".H...",
60000098:,0022327c,0016b444,"|2"".D...",
60000098:,00223278,0016b440,"x2"".@...",
60000098:,00223270,0016b438,"p2"".8...",
60000098:,00223268,0016b430,"h2"".0...",
60000098:,00223264,0016b42c,"d2"".,...",
60000098:,00223260,0016b428,"`2"".(...",
60000098:,0022325c,0016b424,"\2"".$...",
60000098:,0022325c,0016b41c,"\2"".....",
60000098:,00223254,0016b418,"T2"".....",
60000098:,00223250,0016b410,"P2"".....",
60000098:,00223250,0016b40c,"P2"".....",
60000098:,0022324c,0016b404,"L2"".....",
60000098:,00223240,0016b400,"@2"".....",
60000098:,0022323c,0016b3fc,"<2"".....",
60000098:,00223238,0016b3f4,"82"".....",
60000098:,00223234,0016b3f0,"42"".....",
60000098:,0022322c,0016b3ec,",2"".....",
60000098:,00223228,0016b3e4,"(2"".....",
60000098:,00223224,0016b3dc,"$2"".....",
60000098:,00223220,0016b3d4,"2"".....",
60000098:,00223218,0016b3d0,".2"".....",
60000098:,00223214,0016b3c8,".2"".....",
60000098:,0022320c,0016b3c4,".2"".....",
60000098:,00223208,0016b3b8,".2"".....",
60000098:,00223204,0016b3b4,".2"".....",
60000098:,00223200,0016b3b0,".2"".....",
60000098:,00223200,0016b3b0,".2"".....",
60000098:,00223200,0016b3b0,".2"".....",
60000098:,002231f8,0016b3b0,".1"".....",
60000098:,002231f8,0016b3ac,".1"".....",
60000098:,002231f0,0016b3a8,".1"".....",
60000098:,002231ec,0016b3a8,".1"".....",
60000098:,002231e8,0016b39c,".1"".....",
60000098:,002231e4,0016b398,".1"".....",
60000098:,002231dc,0016b394,".1"".....",
60000098:,002231d8,0016b38c,".1"".....",
60000098:,002231d0,0016b388,".1"".....",
60000098:,002231cc,0016b384,".1"".....",
60000098:,002231c4,0016b380,".1"".....",
60000098:,002231c0,0016b378,".1"".x...",
60000098:,002231bc,0016b370,".1"".p...",
60000098:,002231b8,0016b368,".1"".h...",
60000098:,002231b4,0016b364,".1"".d...",
60000098:,002231b0,0016b360,".1"".`...",
