addr,x,y,null,null.1
60000098:,001a889c,003bee40,....@.;.,
60000098:,001a87ac,003bf184,......;.,
60000098:,001a8710,003bf33c,....<.;.,
60000098:,001a85d8,003bf69c,......;.,
60000098:,001a853c,003bf84c,<...L.;.,
60000098:,001a8368,003bfd64,h...d.;.,
60000098:,001a822c,003c00d4,",.....<.",
60000098:,001a8058,003c05ec,X.....<.,
60000098:,001a7e84,003c0b00,.~....<.,
60000098:,001a7cb0,003c1018,.|....<.,
60000098:,001a7ae0,003c152c,".z..,.<.",
60000098:,001a79a8,003c1894,.y....<.,
60000098:,001a77d4,003c1dac,.w....<.,
60000098:,001a75fc,003c22c8,".u...""<.",
60000098:,001a7424,003c27e8,$t...'<.,
60000098:,001a72f0,003c2b50,.r..P+<.,
60000098:,001a7120,003c3068,q..h0<.,
60000098:,001a6f4c,003c3584,Lo...5<.,
60000098:,001a6d78,003c3aa0,xm...:<.,
60000098:,001a6ba4,003c3fc8,.k...?<.,
60000098:,001a69cc,003c44e8,.i...D<.,
60000098:,001a689c,003c484c,.h..LH<.,
60000098:,001a66c8,003c4d70,.f..pM<.,
60000098:,001a64f4,003c5288,.d...R<.,
60000098:,001a6320,003c57a0,c...W<.,
60000098:,001a61e4,003c5b0c,.a...[<.,
60000098:,001a6010,003c6028,.`..(`<.,
60000098:,001a5e3c,003c654c,<^..Le<.,
60000098:,001a5c68,003c6a70,h\..pj<.,
60000098:,001a5bcc,003c6c24,.[..$l<.,
60000098:,001a5a94,003c6f8c,.Z...o<.,
60000098:,001a59f8,003c7140,.Y..@q<.,
60000098:,001a595c,003c72f8,\Y...r<.,
60000098:,001a58c0,003c74ac,.X...t<.,
60000098:,001a5788,003c7814,.W...x<.,
60000098:,001a56ec,003c79cc,.V...y<.,
60000098:,001a551c,003c7ee0,.U...~<.,
60000098:,001a534c,003c8400,LS....<.,
60000098:,001a5178,003c8920,xQ..,.<.
60000098:,001a5044,003c8c78,DP..x.<.,
60000098:,001a4e74,003c9194,tN....<.,
60000098:,001a4ca4,003c96a0,.L....<.,
60000098:,001a4acc,003c9bc4,.J....<.,
60000098:,001a48f8,003ca0e0,.H....<.,
60000098:,001a47c0,003ca444,.G..D.<.,
60000098:,001a45e8,003ca96c,.E..l.<.,
60000098:,001a4418,003cae78,.D..x.<.,
60000098:,001a4248,003cb390,HB....<.,
60000098:,001a4110,003cb6fc,.A....<.,
