addr,x,y,null,null.1
60000098:,0006e424,0007df94,$.......,
60000098:,0006e448,0007e124,H...$...,
60000098:,0006e46c,0007e2b8,l.......,
60000098:,0006e490,0007e444,....D...,
60000098:,0006e4b4,0007e5d4,........,
60000098:,0006e4d8,0007e764,....d...,
60000098:,0006e4d8,0007e764,....d...,
60000098:,0006e4fc,0007e8f4,........,
60000098:,0006e4fc,0007e8f4,........,
60000098:,0006e520,0007ea80,.......,
60000098:,0006e520,0007ea80,.......,
60000098:,0006e538,0007eb8c,8.......,
60000098:,0006e538,0007eb8c,8.......,
60000098:,0006e55c,0007ed1c,\.......,
60000098:,0006e580,0007eeb0,........,
60000098:,0006e5a4,0007f03c,....<...,
60000098:,0006e5c8,0007f1cc,........,
60000098:,0006e5ec,0007f35c,....\...,
60000098:,0006e604,0007f464,....d...,
60000098:,0006e628,0007f5f4,(.......,
60000098:,0006e64c,0007f784,L.......,
60000098:,0006e670,0007f914,p.......,
60000098:,0006e694,0007faa8,........,
60000098:,0006e6ac,0007fbb0,........,
60000098:,0006e6d0,0007fd48,....H...,
60000098:,0006e6f4,0007fed4,........,
60000098:,0006e714,00080068,....h...,
60000098:,0006e738,000801f8,8.......,
60000098:,0006e75c,00080388,\.......,
60000098:,0006e774,00080494,t.......,
60000098:,0006e798,00080620,....,...
60000098:,0006e7bc,000807ac,........,
60000098:,0006e7e0,0008093c,....<...,
60000098:,0006e804,00080acc,........,
60000098:,0006e81c,00080bd8,........,
60000098:,0006e840,00080d68,@...h...,
60000098:,0006e858,00080e78,X...x...,
60000098:,0006e864,00080f00,d.......,
60000098:,0006e87c,00081008,|.......,
60000098:,0006e888,00081090,........,
60000098:,0006e8a0,00081198,........,
60000098:,0006e8ac,0008121c,........,
60000098:,0006e8c4,0008132c,"....,...",
60000098:,0006e8d0,000813b4,........,
60000098:,0006e8e8,000814c0,........,
60000098:,0006e900,000815c8,........,
60000098:,0006e924,00081758,$...X...,
60000098:,0006e948,000818ec,H.......,
60000098:,0006e96c,00081a80,l.......,
60000098:,0006e990,00081c18,........,
60000098:,0006e9b4,00081da4,........,
60000098:,0006e9d8,00081f3c,....<...,
60000098:,0006e9f0,00082048,....H,..
60000098:,0006ea14,000821d4,.....!..,
60000098:,0006ea38,00082364,8...d,
60000098:,0006ea5c,000824f0,\....$..,
60000098:,0006ea80,00082680,.....&..,
60000098:,0006ea98,0008278c,.....'..,
60000098:,0006eabc,00082920,....,)..
60000098:,0006eae0,00082aac,.....*..,
60000098:,0006eb04,00082c3c,"....<,..",
60000098:,0006eb28,00082dcc,(....-..,
60000098:,0006eb40,00082ed4,@.......,
60000098:,0006eb64,00083064,d...d0..,
60000098:,0006eb88,000831f8,.....1..,
60000098:,0006ebac,00083390,.....3..,
60000098:,0006ebd0,00083528,....(5..,
60000098:,0006ebe8,00083630,....06..,
60000098:,0006ebf4,000836b4,.....6..,
60000098:,0006ec0c,000837c0,.....7..,
60000098:,0006ec0c,000837c0,.....7..,
60000098:,0006ec30,00083950,0...P9..,
60000098:,0006ec30,00083950,0...P9..,
60000098:,0006ec54,00083adc,T....:..,
60000098:,0006ec54,00083adc,T....:..,
60000098:,0006ec78,00083c68,x...h<..,
60000098:,0006ec9c,00083df8,.....=..,
60000098:,0006ecb4,00083f08,.....?..,
60000098:,0006ecd8,0008409c,.....@..,
60000098:,0006ecfc,0008422c,"....,B..",
60000098:,0006ed1c,000843b8,.....C..,
