addr,x,y,null,null.1
60000098:,000601c8,003dcc90,......=.,
60000098:,000601dc,003dcd5c,....\.=.,
60000098:,00060204,003dceec,......=.,
60000098:,00060218,003dcfb4,......=.,
60000098:,0006022c,003dd07c,",...|.=.",
60000098:,00060264,003dd2dc,d.....=.,
60000098:,00060298,003dd53c,....<.=.,
60000098:,000602d4,003dd794,......=.,
60000098:,00060310,003dd9f4,......=.,
60000098:,00060338,003ddb8c,8.....=.,
60000098:,00060374,003ddde8,t.....=.,
60000098:,000603b0,003de044,....D.=.,
60000098:,000603ec,003de2a0,......=.,
60000098:,00060414,003de430,....0.=.,
60000098:,0006044c,003de688,L.....=.,
60000098:,00060488,003de8e4,......=.,
60000098:,000604c0,003deb40,....@.=.,
60000098:,000604fc,003deda4,......=.,
60000098:,00060524,003def3c,$...<.=.,
60000098:,0006055c,003df1a0,\.....=.,
60000098:,00060598,003df3fc,......=.,
60000098:,000605d4,003df654,....T.=.,
60000098:,0006060c,003df8b0,......=.,
60000098:,00060630,003dfa40,0...@.=.,
60000098:,0006066c,003dfc98,l.....=.,
60000098:,000606a8,003dfefc,......=.,
60000098:,000606e4,003e0154,....T.>.,
60000098:,0006071c,003e03ac,......>.,
60000098:,00060740,003e0540,@...@.>.,
60000098:,00060754,003e0608,T.....>.,
60000098:,0006077c,003e079c,|.....>.,
60000098:,00060790,003e0864,....d.>.,
60000098:,000607b8,003e09f8,......>.,
60000098:,000607cc,003e0ac4,......>.,
60000098:,000607f4,003e0c58,....X.>.,
60000098:,00060808,003e0d20,....,.>.
60000098:,0006082c,003e0f7c,",...|.>.",
60000098:,00060868,003e1114,h.....>.,
60000098:,000608a4,003e1370,....p.>.,
60000098:,000608e0,003e15cc,......>.,
60000098:,0006091c,003e1824,....$.>.,
60000098:,00060944,003e19b8,D.....>.,
60000098:,00060980,003e1c18,......>.,
60000098:,000609b8,003e1e74,....t.>.,
60000098:,000609f0,003e20d0,.....,>.
60000098:,00060a2c,003e2330,",...0",
60000098:,00060a68,003e2590,h....%>.,
60000098:,00060a90,003e2720,....,'>.
60000098:,00060acc,003e297c,....|)>.,
60000098:,00060b00,003e2bdc,.....+>.,
60000098:,00060b3c,003e2e3c,<...<.>.,
60000098:,00060b78,003e3098,x....0>.,
60000098:,00060ba0,003e3228,....(2>.,
60000098:,00060bdc,003e347c,....|4>.,
60000098:,00060c14,003e36d4,.....6>.,
60000098:,00060c4c,003e392c,"L...,9>.",
60000098:,00060c88,003e3b8c,.....;>.,
60000098:,00060cb0,003e3d20,....,=>.
60000098:,00060cec,003e3f7c,....|?>.,
60000098:,00060d20,003e41d8,....A>.,
60000098:,00060d20,003e41d8,....A>.,
60000098:,00060d5c,003e4438,\...8D>.,
60000098:,00060d5c,003e4438,\...8D>.,
60000098:,00060d80,003e45c8,.....E>.,
60000098:,00060d94,003e4694,.....F>.,
60000098:,00060dbc,003e4828,....(H>.,
60000098:,00060dbc,003e4828,....(H>.,
60000098:,00060df8,003e4a84,.....J>.,
60000098:,00060e34,003e4ce4,4....L>.,
60000098:,00060e70,003e4f3c,p...<O>.,
60000098:,00060eac,003e51a0,.....Q>.,
60000098:,00060ed0,003e5330,....0S>.,
60000098:,00060f08,003e558c,.....U>.,
60000098:,00060f44,003e57e8,D....W>.,
60000098:,00060f80,003e5a48,....HZ>.,
60000098:,00060fbc,003e5ca8,.....\>.,
60000098:,00060ff4,003e5f04,....._>.,
60000098:,0006101c,003e6098,.....`>.,
60000098:,00061058,003e62f8,X....b>.,
60000098:,00061094,003e6554,....Te>.,
60000098:,000610d0,003e67b0,.....g>.,
60000098:,0006110c,003e6a10,.....j>.,
