addr,x,y,null,null.1
60000098:,0007a9a8,0010f718,........,
60000098:,0007a9b4,0010f72c,"....,...",
60000098:,0007a9bc,0010f77c,....|...,
60000098:,0007a9bc,0010f7a4,........,
60000098:,0007a9c4,0010f7f4,........,
60000098:,0007a9c4,0010f7f4,........,
60000098:,0007a9d0,0010f86c,....l...,
60000098:,0007a9dc,0010f8e4,........,
60000098:,0007a9e4,0010f95c,....\...,
60000098:,0007a9ec,0010f9d4,........,
60000098:,0007a9f0,0010fa4c,....L...,
60000098:,0007a9f8,0010fa9c,........,
60000098:,0007aa04,0010fb14,........,
60000098:,0007aa10,0010fb8c,........,
60000098:,0007aa1c,0010fc04,........,
60000098:,0007aa28,0010fc7c,(...|...,
60000098:,0007aa30,0010fccc,0.......,
60000098:,0007aa38,0010fd40,8...@...,
60000098:,0007aa44,0010fdb8,D.......,
60000098:,0007aa4c,0010fe30,L...0...,
60000098:,0007aa50,0010fea8,P.......,
60000098:,0007aa58,0010ff20,X...,...
60000098:,0007aa60,0010ff70,`...p...,
60000098:,0007aa6c,0010ffe8,l.......,
60000098:,0007aa74,0011005c,t...\...,
60000098:,0007aa80,001100d4,........,
60000098:,0007aa8c,0011014c,....L...,
60000098:,0007aa94,001101c4,........,
60000098:,0007aa9c,00110214,........,
60000098:,0007aaa0,0011028c,........,
60000098:,0007aaa0,0011028c,........,
60000098:,0007aaac,00110304,........,
60000098:,0007aaac,00110304,........,
60000098:,0007aab4,0011037c,....|...,
60000098:,0007aab4,0011037c,....|...,
60000098:,0007aac0,001103f4,........,
60000098:,0007aac0,001103f4,........,
60000098:,0007aac8,0011046c,....l...,
60000098:,0007aacc,001104bc,........,
60000098:,0007aad8,00110534,....4...,
60000098:,0007aae4,001105ac,........,
60000098:,0007aaf0,00110624,....$...,
60000098:,0007aaf8,0011069c,........,
60000098:,0007ab00,001106ec,........,
60000098:,0007ab0c,00110764,....d...,
60000098:,0007ab14,001107dc,........,
60000098:,0007ab1c,00110854,....T...,
60000098:,0007ab28,001108cc,(.......,
60000098:,0007ab30,0011091c,0.......,
60000098:,0007ab3c,00110994,<.......,
60000098:,0007ab44,00110a0c,D.......,
60000098:,0007ab4c,00110a84,L.......,
60000098:,0007ab54,00110afc,T.......,
60000098:,0007ab5c,00110b4c,\...L...,
60000098:,0007ab68,00110bc4,h.......,
60000098:,0007ab74,00110c3c,t...<...,
60000098:,0007ab80,00110cb4,........,
60000098:,0007ab88,00110d2c,"....,...",
60000098:,0007ab8c,00110d7c,....|...,
60000098:,0007ab94,00110df4,........,
60000098:,0007aba0,00110e6c,....l...,
60000098:,0007aba4,00110e94,........,
60000098:,0007aba8,00110ee4,........,
60000098:,0007aba8,00110ee4,........,
60000098:,0007abb0,00110f5c,....\...,
60000098:,0007abb0,00110f5c,....\...,
60000098:,0007abb8,00110fac,........,
60000098:,0007abbc,00110fd4,........,
60000098:,0007abc8,0011104c,....L...,
60000098:,0007abd4,001110c4,........,
60000098:,0007abdc,00111114,........,
60000098:,0007abe8,0011118c,........,
60000098:,0007abf0,00111204,........,
60000098:,0007abfc,0011127c,....|...,
60000098:,0007ac04,001112f4,........,
60000098:,0007ac0c,00111344,....D...,
60000098:,0007ac14,001113bc,........,
60000098:,0007ac18,00111434,....4...,
60000098:,0007ac24,001114ac,$.......,
60000098:,0007ac2c,00111524,",...$...",
60000098:,0007ac34,00111574,4...t...,
60000098:,0007ac40,001115ec,@.......,
60000098:,0007ac48,00111664,H...d...,
60000098:,0007ac54,001116dc,T.......,
60000098:,0007ac5c,00111754,\...T...,
60000098:,0007ac64,001117a4,d.......,
60000098:,0007ac70,0011181c,p.......,
60000098:,0007ac7c,00111894,|.......,
60000098:,0007ac88,0011190c,........,
60000098:,0007ac94,00111984,........,
60000098:,0007ac9c,001119fc,........,
60000098:,0007aca4,00111a4c,....L...,
60000098:,0007aca4,00111a74,....t...,
60000098:,0007acac,00111ac4,........,
60000098:,0007acac,00111ac4,........,
60000098:,0007acb8,00111b38,....8...,
60000098:,0007acb8,00111b38,....8...,
60000098:,0007acc4,00111bb0,........,
60000098:,0007acc4,00111bb0,........,
60000098:,0007accc,00111c28,....(...,
60000098:,0007acd8,00111ca0,........,
60000098:,0007ace0,00111cf0,........,
60000098:,0007ace8,00111d68,....h...,
60000098:,0007acf4,00111de0,........,
